Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
MTHansen,BAC.TRMR_Bro032_Mem204.20190830_2019,2019,48.10326,-112.69839,2019-08-30,2019-11-06,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,0.4453472611568883
MTHansen,BAC.TRMR_Bro037_Mem205.20190830_2019,2019,48.1005,-112.70988,2019-08-30,2019-11-04,66,Forest,Wild,2,0.036589155626631904,0.4159440657807979,-0.2550239067398758
MTHansen,BAC.TRMR_Bro042_Mem144.20190830_2019,2019,48.11029,-112.68571,2019-08-30,2019-11-06,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,1.26829222453424
MTHansen,BAC.TRMR_Bro073_Mem169.20190830_2019,2019,48.09256,-112.71216,2019-08-30,2019-11-06,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,-0.2550239067398758
MTHansen,BAC.TRMR_Rec004_Mem102.20200831_2020,2020,48.09406,-112.68894,2020-08-31,2020-09-29,29,Forest,Wild,1,0.06968812685988383,0.6924825330351589,0.6056901535426866
MTHansen,BAC.TRMR_Rec004_Mem135.20210530_2021,2021,48.09406,-112.68894,2021-08-23,2021-10-23,61,Forest,Wild,1,0.03984394886658627,-0.5043396859017379,0.6056901535426866
MTHansen,BAC.TRMR_Rec006_Mem085.20200901_2020,2020,48.08917,-112.64357,2020-09-01,2020-11-01,61,Forest,Wild,2,0.03984394886658627,0.5802804500098195,-0.9200526870828667
MTHansen,BAC.TRMR_Rec010_Mem195.20210530_2021,2021,48.10738,-112.69267,2021-08-23,2021-10-24,62,Forest,Wild,1,0.038674630869397396,-0.5218335590616017,0.4453472611568883
MTHansen,BAC.TRMR_Rec014_Mem020.20200831_2020,2020,48.07463,-112.72936,2020-08-31,2020-10-31,61,Forest,Wild,2,0.03984394886658627,0.5802804500098195,0.05797969049099382
MTHansen,BAC.TRMR_Rec014_Mem210.20210529_2021,2021,48.07463,-112.72936,2021-08-23,2021-10-23,61,Forest,Wild,1,0.03984394886658627,-0.5043396859017379,0.05797969049099382
MTHansen,BAC.TRMR_Rec017_Mem159.20210529_2021,2021,48.11575,-112.6833,2021-08-23,2021-10-24,62,Forest,Wild,2,0.038674630869397396,0.5452927036900921,0.16444967354812515
MTHansen,BAC.TRMR_Rec025_Mem076.20200831_2020,2020,48.06622,-112.73686,2020-08-31,2020-10-31,61,Forest,Wild,2,0.03984394886658627,0.5802804500098195,0.3270872329028573
MTHansen,BAC.TRMR_Rec027_Mem113.20210530 08/23/2021_2021,2021,48.1081,-112.70698,2021-08-23,2021-10-24,62,Forest,Wild,2,0.038674630869397396,0.5452927036900921,0.21320067799617304
MTHansen,BAC.TRMR_Rec036_Mem069.20200831_2020,2020,48.11409,-112.69596,2020-08-31,2020-11-01,62,Forest,Wild,2,0.038674630869397396,0.5452927036900921,0.1164712127205964
MTHansen,BAC.TRMR_Rec036_Mem165.20210529 08/23/2021_2021,2021,48.11409,-112.69596,2021-08-23,2021-10-24,62,Forest,Wild,1,0.038674630869397396,-0.5218335590616017,0.1164712127205964
MTHansen,BAC.TRMR_Rec039_Mem137.20210529_2021,2021,48.08772,-112.73944,2021-08-23,2021-10-23,61,Forest,Wild,1,1,-0.5043396859017379,-0.05748811978757977
MTHansen,BAC.TRMR_Rec040_Mem100.20200831_2020,2020,48.12469,-112.66968,2020-08-31,2020-11-01,62,Forest,Wild,2,0.038674630869397396,0.5452927036900921,1.0505223777070234
MTHansen,BAC.TRMR_Rec041_Mem099.20200831_2020,2020,48.09295,-112.70779,2020-08-31,2020-10-31,61,Forest,Wild,2,0.03984394886658627,0.5802804500098195,0.43419943948995293
MTHansen,BAC.TRMR_Rec042_Mem144.20210530_2021,2021,48.07277,-112.63412,2021-08-23,2021-10-24,62,Forest,Wild,1,0.038674630869397396,-0.5218335590616017,0.6163287508910198
MTHansen,BAC.TRMR_Rec043_Mem081.20200901_2020,2020,48.09672,-112.66609,2020-09-01,2020-11-01,61,Forest,Wild,2,0.03984394886658627,0.5802804500098195,0.5597491640868673
MTHansen,BAC.TRMR_Rec043_Mem204.20210530_2021,2021,48.09672,-112.66609,2021-08-23,2021-10-24,62,Forest,Wild,1,0.038674630869397396,-0.5218335590616017,0.5597491640868673
MTHansen,BAC.TRMR_Rec044_Mem065.20200831_2020,2020,48.08363,-112.73207,2020-08-31,2020-10-31,61,Forest,Wild,2,0.03984394886658627,0.5802804500098195,-0.250195556953107
MTHansen,BAC.TRMR_Rec044_Mem172.20210529_2021,2021,48.08363,-112.73207,2021-08-23,2021-10-23,61,Forest,Wild,1,0.03984394886658627,-0.5043396859017379,-0.250195556953107
MTHansen,BAC.TRMR_Rec045_Mem064.20200831_2020,2020,48.12428,-112.68279,2020-08-31,2020-11-01,62,Forest,Wild,2,0.038674630869397396,0.5452927036900921,0.25878247389843456
MTHansen,BAC.TRMR_Rec045_Mem216.20210529_2021,2021,48.12428,-112.68279,2021-08-23,2021-10-24,62,Forest,Wild,2,0.038674630869397396,0.5452927036900921,0.25878247389843456
MTHansen,BAC.TRMR_Rec046_Mem117.20210530_2021,2021,48.08761,-112.67028,2021-08-23,2021-10-24,62,Forest,Wild,1,0.038674630869397396,-0.5218335590616017,0.25898225976413275
